"Id","Sales"
1,4584.71
24825,4715.43
5993,3883.63
37665,5349.81
18833,3782.96
12841,5548.39
19689,3762.38
857,4767.41
15409,5483.39
38521,6341.84
13697,5707.51
7705,4062.28
39377,5583.34
20545,3894.05
1713,5483.89
16265,4965.2
33385,4985.94
27393,4942.51
2569,5934.11
40233,5035.38
21401,4959.6
35953,4720.91
34241,4538.27
3425,4916.81
22257,4444.12
9417,5037.6
30817,3830.92
10273,4675.45
35097,4766.46
23113,4523.12
4281,4477.01
14553,6935.5
8561,4128.75
29961,3756.43
25681,5395.69
5137,4131.9
23969,4502.04
36809,4948.56
17977,3807.15
26537,5637.25
11985,4981.33
6849,3932.39
17121,4367.09
29105,4058.68
32529,4050.55
11129,4817.74
31673,3896.23
28249,4478.76
23970,7859.19
1714,8518.64
24826,8101.74
18834,5390.56
38522,10173
5994,5838.25
35954,8038.55
2,7939.17
39378,4663.39
4282,4265.36
29106,5818.31
8562,5703.41
9418,4503.55
25682,8417.89
19690,5424.64
34242,4325.22
16266,4495.92
22258,4115.65
26538,9757.85
20546,5506.66
10274,4472.17
30818,5683.11
37666,8424.87
33386,4384.89
14554,11491.6
858,8167.37
21402,4122.24
2570,9820.28
11130,8014.62
5138,5913.43
40234,4606.65
32530,5758.91
36810,8199.09
11986,8128.78
15410,4671.34
35098,7988.93
29962,5693.7
23114,7641.69
17978,5443.14
31674,5690.79
28250,4163.27
6850,5709.79
13698,8376.27
27394,4162.49
7706,5721.09
17122,6098.47
12842,8195.46
3426,4298.83
4283,6161.57
23971,8821.54
24827,9011.64
1715,10323.5
8563,7990.45
5995,7768.81
29107,7667.76
38523,12344
34243,6188.55
22259,6071.23
35955,8956.18
3,8800.75
20547,7988.06
39379,3267.36
16267,6213.67
26539,12079
23115,9010.94
18835,7658.65
25683,9838.08
37667,10289.6
859,8836.36
17123,7959.46
5139,7678.75
19691,7805.96
9419,3009.14
7707,7897.05
11987,8779.19
10275,6208.09
35099,9232.11
33387,3259.4
14555,11179.1
21403,3166.89
2571,12419
11131,8977.74
29963,7625.71
15411,3062.89
28251,6100.48
32531,7741.48
13699,10528.4
36811,8989.6
30819,7684
40235,6922.69
6851,7616.54
12843,9600.89
27395,3258.6
17979,7505.25
3427,3091.02
31675,8066.01
860,6841.74
