"Id","Sales"
1,4667.07
24825,4697.8
5993,3802.98
37665,5378.03
18833,3766.57
12841,5805.76
19689,3756.05
857,4756.9
15409,5225.18
38521,6354.5
13697,5843.76
7705,3832.21
39377,5096.49
20545,3908.06
1713,5249.87
16265,5084.83
33385,4883.01
27393,4892.12
2569,6298.52
40233,4892.36
21401,4772.49
35953,4845.24
34241,4545.26
3425,4871.19
22257,4513.24
9417,4942.57
30817,3931.04
10273,4805.16
35097,4832.3
23113,4663.09
4281,4563.02
14553,7214.22
8561,4115.71
29961,3822.82
25681,5144.85
5137,4033.04
23969,4608.78
36809,4983.8
17977,3802.38
26537,6137.52
11985,5387.3
6849,3838.17
17121,4511.92
29105,4034.76
32529,3939.57
11129,4979.92
31673,3869.27
28249,4580.38
23970,7775.51
1714,8508.01
24826,8026.83
18834,5644.73
38522,9458.17
5994,5814.62
35954,7998.48
2,7838.63
39378,4381.9
4282,4194.47
29106,5886.2
8562,5821.4
9418,4224.88
25682,8443.43
19690,5599.21
34242,4308.56
16266,4288.45
22258,4095.98
26538,9633.08
20546,5606.02
10274,4455.38
30818,5746.29
37666,8621.97
33386,4217.84
14554,10186.5
858,8191.8
21402,4094.27
2570,9642.19
11130,8008.83
5138,5913.89
40234,4680.5
32530,5832.06
36810,8413.48
11986,8180.13
15410,4184.62
35098,7888.86
29962,5740.01
23114,7870.13
17978,5619.25
31674,5693.94
28250,4194.94
6850,5866.02
13698,8511.8
27394,4137.13
7706,5850.54
17122,6027.34
12842,8408.91
3426,4180.19
4283,6144.8
23971,8895.27
24827,8949.23
1715,9895.92
8563,8369.32
5995,7875.71
29107,8085.07
38523,11362.7
34243,6352.41
22259,6283.3
35955,9113.39
3,8945.47
20547,8211.8
39379,3393.24
16267,6436.9
26539,11145.8
23115,9321.98
18835,7930.4
25683,9360.46
37667,9945.44
859,9055.7
17123,8004.98
5139,7979.81
19691,8002.32
9419,3114.26
7707,8370.11
11987,9037.53
10275,6244.16
35099,9575.55
33387,3164.08
14555,11671.8
21403,3184.88
2571,11281.1
11131,9210.04
29963,8108.08
15411,3226.39
28251,6247.9
32531,8075.28
13699,9814.08
36811,9208.81
30819,7981.55
40235,6475.74
6851,7917.15
12843,9423.49
27395,3275.98
17979,7934.14
3427,3093.16
31675,8181.8
860,6890.71
24828,6822.71
5996,5313.96
4284,3251.87
26540,8730.23
23972,6909.76
1716,7225.58
28252,3130.41
4,6957.38
23116,6299.54
37668,7222.73
16268,3456.7
35956,7034.98
11132,6532.14
19692,5069.41
5140,4946.24
22260,3174.25
32532,5247.85
11988,7173.77
30820,5222.93
39380,3657.03
10276,3208.43
33388,3639.45
14556,9029.64
40236,3381.99
25684,7149.01
6852,5194.38
17124,5167.23
34244,3159.25
15412,3951.97
3428,3656.64
20548,5068.28
9420,3565.84
17980,5211.75
21404,3670.34
35100,6446.13
7708,5187.77
8564,5135.93
29108,4917.54
2572,8599.65
29964,5286.69
36812,6977.97
38524,8539.04
27396,3584.22
13700,7799
31676,5245.97
12844,7560.92
18836,5030.56
16269,6284.52
23973,7520.81
4285,6087.85
11989,7710.59
11133,7581.42
861,7437.17
23117,7351.69
1717,8090.37
5997,6090.43
5,7453.23
17125,6496.41
34245,6220.63
22261,5973.61
21405,4416.83
26541,10056.8
9421,4366.93
30821,6060.61
10277,6225.71
35101,7535.4
33389,4498.31
35957,7620.55
5141,6296.72
12845,8541.13
6853,6248.95
36813,7790.24
20549,6162.25
3429,4392.58
32533,6129.06
2573,9989.47
8565,6761.49
24829,7619.06
29109,6319.41
18837,5982.13
25685,7875.35
15413,4373.2
40237,6717.3
38525,10687.6
7709,6378.99
17981,6010.92
39381,4634.29
27397,4474.67
29965,6229.03
31677,6121.19
19693,6070.77
14557,10626
28253,6118.72
13701,8934.37
37669,8337.89
24830,5815.67
34246,4961.43
35102,5987.73
10278,4957.75
20550,5154.29
5142,5173.74
16270,5022.49
22262,4917.17
15414,5439.02
30822,5030.73
11990,6179.07
6,5784.64
11134,5947.3
8566,5343.89
862,5793.98
29966,5110.88
13702,6819.76
17126,5367.74
26542,7768.42
39382,5153.7
1718,6733.97
17982,4932.11
33390,5278.03
27398,5279.17
29110,5077.96
2574,7694.47
19694,5047.72
40238,4992.4
35958,6010.39
3430,5289.47
28254,4835.92
9422,5280.91
32534,5238.91
36814,5953.34
18838,4895.36
23118,5896.84
4286,4890.86
14558,8619.48
38526,7866.69
12846,6618.76
6854,4892.61
25686,6426.72
21406,5309.21
23974,5797.61
7710,5035.02
37670,6446.04
31678,5079.2
5998,5073.68
5143,6955.15
22263,5976.36
4287,5930.83
26543,9651.06
10279,6210.97
24831,8347.46
27399,3580.89
29111,6825.41
18839,6872.12
23975,7956.83
11135,8454.87
25687,8391.99
19695,6695.21
30823,6956.11
13703,9281.28
15415,3769.23
33391,3575.25
9423,3286.98
29967,6931.5
17983,6799.45
14559,10659.7
35959,8397.52
2575,9757.37
8567,6777.09
32535,6869.45
6855,6932.52
863,8631.39
3431,3446.08
39383,3554.6
23119,7769.21
21407,3518.91
20551,6793.39
40239,6474.11
16271,6424.53
7711,6985.34
37671,9078.71
12847,9213.93
28255,5910.36
31679,6819.45
5999,6922.43
36815,8884.26
35103,8124.86
17127,6823.77
1719,8621.08
11991,8681.68
34247,6028.38
7,8156.73
38527,9962.03
33392,4296.66
26544,10648.3
15416,4323.3
23120,8250.17
9424,4201.74
10280,6254.41
3432,4209.96
22264,6107
35960,8451.37
13704,8780.42
27400,4284.56
24832,8706.33
28256,6049.01
25688,8939.37
